#[EPOCH_TIME];[DEVICE_NAME];[SENSOR_TYPE];[MEASUREMENT_VALUE]
#LIST OF SENSOR TYPES:
#10:Time (HHMMSS)
#11:Date (YYYYMMDD)
#20:Acceleration (X,Y,Z) (m/s^2)
#50:AirPressure (Pa)
#AB:GpsLatLang(Lat,Lang)
#X:Commands
#Y:CurrentMeasurementNumber
#80:Velocity
#81:RoadQuality
#82:ConnectionEvent
#83:RoadType
1630526594651;LOCAL_PHONE;Y;87
1630526594651;LOCAL_PHONE;80;SL_0
1630526594651;LOCAL_PHONE;83;RT_O
1630526594651;LOCAL_PHONE;81;RS_N
1630526594068;LOCAL_PHONE;11;20210901
1630526594068;LOCAL_PHONE;10;220314
1630526593072;LOCAL_PHONE;AB;52.5126952,13.4861057
1630526594068;LOCAL_PHONE;11;20210901
1630526594691;LOCAL_PHONE;20;0.2,0.01,0.93
1630526594692;LOCAL_PHONE;20;-0.28,0.0,0.08
1630526594692;LOCAL_PHONE;20;0.15,0.01,0.22
1630526594693;LOCAL_PHONE;20;0.27,-0.1,0.79
1630526594693;LOCAL_PHONE;20;-0.26,0.06,0.42
1630526594710;LOCAL_PHONE;20;-0.19,0.04,0.89
1630526594711;LOCAL_PHONE;20;-0.06,-0.11,0.65
1630526594719;LOCAL_PHONE;20;-0.55,0.07,0.36
1630526594730;LOCAL_PHONE;20;0.07,-0.07,0.45
1630526594736;LOCAL_PHONE;20;-0.09,0.05,0.75
1630526594746;LOCAL_PHONE;20;-0.3,-0.08,0.06
1630526594756;LOCAL_PHONE;20;0.11,-0.02,0.98
1630526594766;LOCAL_PHONE;20;-0.16,0.2,0.29
1630526594776;LOCAL_PHONE;20;-0.14,-0.01,0.36
1630526594788;LOCAL_PHONE;20;0.22,-0.02,0.93
1630526594796;LOCAL_PHONE;20;-0.38,-0.11,0.57
1630526594806;LOCAL_PHONE;20;0.11,0.18,0.1
1630526594816;LOCAL_PHONE;20;0.05,-0.18,0.51
1630526594826;LOCAL_PHONE;20;-0.51,0.09,-0.02
1630526594838;LOCAL_PHONE;20;-0.17,0.16,0.77
1630526594846;LOCAL_PHONE;20;-0.24,-0.15,0.17
1630526594856;LOCAL_PHONE;20;-0.27,0.14,0.52
1630526594866;LOCAL_PHONE;20;-0.1,-0.27,0.35
1630526594877;LOCAL_PHONE;20;0.22,0.06,0.54
1630526594888;LOCAL_PHONE;20;-0.31,0.0,0.23
1630526594896;LOCAL_PHONE;20;0.0,0.02,0.02
1630526594906;LOCAL_PHONE;20;-0.1,0.22,0.42
1630526594916;LOCAL_PHONE;20;-0.47,0.03,-0.42
1630526594926;LOCAL_PHONE;20;0.14,-0.04,0.47
1630526594938;LOCAL_PHONE;20;-0.17,-0.16,0.04
1630526594946;LOCAL_PHONE;20;-0.57,0.04,0.12
1630526594957;LOCAL_PHONE;20;-0.03,-0.15,0.11
1630526594966;LOCAL_PHONE;20;0.05,0.12,0.08
1630526594976;LOCAL_PHONE;20;-0.43,-0.01,-0.56
1630526594989;LOCAL_PHONE;20;0.42,0.05,-0.09
1630526594996;LOCAL_PHONE;20;-0.38,-0.01,-0.06
1630526595007;LOCAL_PHONE;20;-0.41,0.06,-0.55
1630526595016;LOCAL_PHONE;20;0.42,0.07,0.41
1630526595026;LOCAL_PHONE;20;-0.35,0.13,-0.68
1630526595038;LOCAL_PHONE;20;-0.41,-0.21,-0.4
1630526595046;LOCAL_PHONE;20;0.24,-0.01,0.06
1630526595056;LOCAL_PHONE;20;-0.14,-0.06,0.02
1630526595066;LOCAL_PHONE;20;-0.34,0.05,0.05
1630526595069;LOCAL_PHONE;10;220315
1630526595069;LOCAL_PHONE;11;20210901
1630526595076;LOCAL_PHONE;20;0.2,0.09,0.31
1630526595086;LOCAL_PHONE;20;-0.3,-0.11,-0.25
1630526595096;LOCAL_PHONE;20;-0.04,0.03,-0.38
1630526595106;LOCAL_PHONE;50;952.7459
1630526595107;LOCAL_PHONE;20;0.17,-0.04,-0.06
1630526595116;LOCAL_PHONE;20;0.02,-0.03,-0.16
1630526595126;LOCAL_PHONE;20;-0.27,0.04,0.22
1630526595136;LOCAL_PHONE;20;0.17,0.07,0.19
1630526595146;LOCAL_PHONE;20;0.02,0.06,0.27
1630526595157;LOCAL_PHONE;20;-0.04,-0.02,-0.31
1630526595166;LOCAL_PHONE;20;0.25,-0.01,0.08
1630526595176;LOCAL_PHONE;20;-0.17,-0.13,-0.3
1630526595186;LOCAL_PHONE;20;-0.06,-0.01,0.1
1630526595197;LOCAL_PHONE;20;-0.23,0.03,0.36
1630526595207;LOCAL_PHONE;20;-0.12,0.09,-0.14
1630526595216;LOCAL_PHONE;20;0.23,-0.02,0.52
1630526595226;LOCAL_PHONE;20;0.2,-0.15,-0.28
1630526595236;LOCAL_PHONE;20;0.42,0.16,0.13
1630526595247;LOCAL_PHONE;20;0.08,0.0,-0.37
1630526595256;LOCAL_PHONE;20;-0.22,0.05,-0.02
1630526595266;LOCAL_PHONE;20;-0.06,0.09,-0.01
1630526595276;LOCAL_PHONE;20;-0.18,0.03,0.23
1630526595286;LOCAL_PHONE;20;-0.44,0.07,-0.1
1630526595297;LOCAL_PHONE;20;0.08,-0.08,0.42
1630526595306;LOCAL_PHONE;20;-0.24,-0.12,0.07
1630526595316;LOCAL_PHONE;20;-0.01,-0.21,0.15
1630526595326;LOCAL_PHONE;20;-0.18,0.0,0.72
1630526595336;LOCAL_PHONE;20;-0.15,0.09,0.22
1630526595346;LOCAL_PHONE;20;-0.01,-0.09,0.69
1630526595357;LOCAL_PHONE;20;-0.24,0.05,0.27
1630526595366;LOCAL_PHONE;20;0.01,-0.11,0.28
1630526595377;LOCAL_PHONE;20;0.05,-0.09,0.23
1630526595386;LOCAL_PHONE;20;-0.1,0.01,0.21
1630526595396;LOCAL_PHONE;20;-0.2,-0.02,0.17
1630526595407;LOCAL_PHONE;20;-0.18,0.04,0.34
1630526595416;LOCAL_PHONE;20;-0.17,0.03,0.24
1630526595426;LOCAL_PHONE;20;-0.02,-0.06,0.05
1630526595436;LOCAL_PHONE;20;0.12,0.06,0.45
1630526595447;LOCAL_PHONE;20;-0.01,-0.12,-0.23
1630526595457;LOCAL_PHONE;20;-0.26,-0.01,0.36
1630526595466;LOCAL_PHONE;20;0.23,0.06,0.05
1630526595476;LOCAL_PHONE;20;-0.12,0.01,0.51
1630526595486;LOCAL_PHONE;20;0.08,0.25,-0.24
1630526595496;LOCAL_PHONE;20;0.34,0.03,0.61
1630526595507;LOCAL_PHONE;20;-0.57,-0.1,-0.36
1630526595516;LOCAL_PHONE;20;0.0,-0.01,0.51
1630526595526;LOCAL_PHONE;20;-0.03,-0.07,0.34
1630526595536;LOCAL_PHONE;20;-0.4,0.13,-0.19
1630526595546;LOCAL_PHONE;20;-0.07,0.04,0.29
1630526595557;LOCAL_PHONE;20;0.2,-0.06,-0.02
1630526595566;LOCAL_PHONE;20;-0.31,0.01,0.12
1630526595576;LOCAL_PHONE;20;-0.02,0.01,-0.07
1630526595586;LOCAL_PHONE;20;0.26,0.09,0.51
1630526595596;LOCAL_PHONE;20;-0.57,-0.11,-0.21
1630526595607;LOCAL_PHONE;20;0.13,-0.02,0.52
1630526595616;LOCAL_PHONE;20;0.2,0.02,0.48
1630526595626;LOCAL_PHONE;20;-0.6,0.07,-0.27
1630526595637;LOCAL_PHONE;20;0.34,-0.1,0.48
1630526595646;LOCAL_PHONE;20;0.16,0.27,0.15
1630526595658;LOCAL_PHONE;20;-0.54,-0.12,-0.54
1630526595666;LOCAL_PHONE;20;0.69,0.16,0.16
1630526595676;LOCAL_PHONE;20;0.14,-0.09,0.18
1630526595686;LOCAL_PHONE;20;-0.18,0.14,-0.43
1630526595696;LOCAL_PHONE;20;0.46,0.01,0.75
1630526595707;LOCAL_PHONE;20;-0.15,-0.02,-0.26
1630526595716;LOCAL_PHONE;20;-0.08,0.04,0.19
1630526595726;LOCAL_PHONE;20;0.16,0.02,0.0
1630526595736;LOCAL_PHONE;20;-0.11,-0.15,0.02
1630526595746;LOCAL_PHONE;20;-0.34,-0.06,-0.14
1630526595758;LOCAL_PHONE;20;0.47,0.02,0.27
1630526595766;LOCAL_PHONE;20;-0.12,0.06,0.02
1630526595776;LOCAL_PHONE;20;0.02,0.02,-0.31
1630526595786;LOCAL_PHONE;20;0.25,0.01,0.65
1630526595797;LOCAL_PHONE;20;-0.22,-0.02,-0.55
1630526595808;LOCAL_PHONE;20;-0.02,-0.03,0.42
1630526595816;LOCAL_PHONE;20;-0.07,-0.01,-0.07
1630526595826;LOCAL_PHONE;20;-0.25,-0.01,0.11
1630526595836;LOCAL_PHONE;20;-0.09,0.08,-0.15
1630526595846;LOCAL_PHONE;20;0.11,0.05,0.39
1630526595859;LOCAL_PHONE;20;-0.39,-0.23,-0.07
1630526595866;LOCAL_PHONE;20;0.19,0.08,0.42
1630526595876;LOCAL_PHONE;20;0.0,0.0,0.08
1630526595887;LOCAL_PHONE;20;-0.11,-0.09,-0.16
1630526595896;LOCAL_PHONE;20;0.11,-0.15,0.62
1630526595909;LOCAL_PHONE;20;0.02,0.08,0.04
1630526595916;LOCAL_PHONE;20;-0.05,0.06,-0.17
1630526595926;LOCAL_PHONE;20;0.35,0.15,-0.07
1630526595936;LOCAL_PHONE;20;0.0,-0.13,-0.26
1630526595946;LOCAL_PHONE;20;-0.2,-0.15,0.1
1630526595959;LOCAL_PHONE;20;-0.08,-0.22,0.53
1630526595966;LOCAL_PHONE;20;-0.12,0.04,0.53
1630526595977;LOCAL_PHONE;20;-0.22,0.1,0.11
1630526595987;LOCAL_PHONE;20;-0.01,-0.12,0.5
1630526595996;LOCAL_PHONE;20;0.09,0.11,0.13
1630526596006;LOCAL_PHONE;20;-0.38,-0.21,0.12
1630526596017;LOCAL_PHONE;20;0.41,0.13,0.27
1630526596026;LOCAL_PHONE;20;-0.06,-0.01,0.34
