#[EPOCH_TIME];[DEVICE_NAME];[SENSOR_TYPE];[MEASUREMENT_VALUE]
#LIST OF SENSOR TYPES:
#10:Time (HHMMSS)
#11:Date (YYYYMMDD)
#20:Acceleration (X,Y,Z) (m/s^2)
#50:AirPressure (Pa)
#AB:GpsLatLang(Lat,Lang)
#X:Commands
#Y:CurrentMeasurementNumber
#80:Velocity
#81:RoadQuality
#82:ConnectionEvent
#83:RoadType
1629225516841;LOCAL_PHONE;Y;8
1629225516841;LOCAL_PHONE;80;SL_80
1629225516841;LOCAL_PHONE;83;RT_O
1629225516841;LOCAL_PHONE;81;RS_N
1629225515880;LOCAL_PHONE;11;20210817
1629225515880;LOCAL_PHONE;10;203835
1629225515614;LOCAL_PHONE;AB;52.5299165,13.4620105
1629225515880;LOCAL_PHONE;11;20210817
1629225516878;LOCAL_PHONE;20;0.31,0.45,-3.35
1629225516879;LOCAL_PHONE;20;0.08,0.01,-0.29
1629225516879;LOCAL_PHONE;20;-0.36,-0.3,1.28
1629225516880;LOCAL_PHONE;20;0.02,-0.03,1.07
1629225516880;LOCAL_PHONE;10;203836
1629225516880;LOCAL_PHONE;20;0.14,0.23,-1.05
1629225516881;LOCAL_PHONE;11;20210817
1629225516895;LOCAL_PHONE;20;-0.2,0.18,-1.22
1629225516896;LOCAL_PHONE;20;0.11,-0.22,0.81
1629225516904;LOCAL_PHONE;20;-0.15,0.05,0.39
1629225516913;LOCAL_PHONE;20;-0.04,0.02,-0.73
1629225516924;LOCAL_PHONE;20;0.06,0.07,-0.42
1629225516933;LOCAL_PHONE;20;0.09,0.0,-0.23
1629225516943;LOCAL_PHONE;20;-0.38,-0.11,0.68
1629225516953;LOCAL_PHONE;20;0.22,0.14,-0.4
1629225516964;LOCAL_PHONE;20;-0.04,0.12,-0.75
1629225516973;LOCAL_PHONE;20;-0.14,0.05,0.38
1629225516983;LOCAL_PHONE;20;0.15,-0.16,0.27
1629225516993;LOCAL_PHONE;20;-0.2,0.02,0.19
1629225517004;LOCAL_PHONE;20;-0.26,0.04,-0.14
1629225517013;LOCAL_PHONE;20;0.25,-0.1,0.2
1629225517023;LOCAL_PHONE;20;-0.33,0.1,0.1
1629225517033;LOCAL_PHONE;20;0.11,-0.07,-0.32
1629225517044;LOCAL_PHONE;20;0.27,-0.02,0.48
1629225517053;LOCAL_PHONE;20;-0.23,-0.03,-0.24
1629225517063;LOCAL_PHONE;20;0.17,-0.13,0.39
1629225517073;LOCAL_PHONE;20;0.03,-0.22,0.9
1629225517084;LOCAL_PHONE;20;-0.54,-0.01,0.23
1629225517093;LOCAL_PHONE;20;-0.23,-0.19,0.31
1629225517104;LOCAL_PHONE;20;0.03,-0.06,0.08
1629225517113;LOCAL_PHONE;20;-0.51,0.17,0.45
1629225517123;LOCAL_PHONE;20;0.24,0.08,0.41
1629225517133;LOCAL_PHONE;20;0.11,0.12,-0.11
1629225517143;LOCAL_PHONE;20;-0.17,-0.12,0.51
1629225517153;LOCAL_PHONE;20;0.01,-0.14,0.42
1629225517164;LOCAL_PHONE;20;0.03,0.01,0.1
1629225517173;LOCAL_PHONE;20;-0.23,0.01,0.34
1629225517183;LOCAL_PHONE;20;-0.08,0.09,0.09
1629225517194;LOCAL_PHONE;20;-0.31,-0.1,0.48
1629225517204;LOCAL_PHONE;20;-0.28,-0.11,0.16
1629225517214;LOCAL_PHONE;20;0.16,-0.11,0.35
1629225517223;LOCAL_PHONE;20;-0.06,-0.13,0.58
1629225517233;LOCAL_PHONE;20;0.1,0.19,0.28
1629225517246;LOCAL_PHONE;20;0.05,-0.04,0.73
1629225517253;LOCAL_PHONE;20;0.2,-0.1,-0.07
1629225517264;LOCAL_PHONE;20;-0.22,-0.11,0.48
1629225517273;LOCAL_PHONE;20;0.32,-0.1,0.84
1629225517284;LOCAL_PHONE;20;-0.33,0.0,-0.07
1629225517293;LOCAL_PHONE;20;-0.31,0.07,0.67
1629225517303;LOCAL_PHONE;20;0.2,0.07,0.56
1629225517313;LOCAL_PHONE;20;-0.24,0.02,0.66
1629225517324;LOCAL_PHONE;20;0.12,0.1,0.67
