#[EPOCH_TIME];[DEVICE_NAME];[SENSOR_TYPE];[MEASUREMENT_VALUE]
#LIST OF SENSOR TYPES:
#10:Time (HHMMSS)
#11:Date (YYYYMMDD)
#20:Acceleration (X,Y,Z) (m/s^2)
#50:AirPressure (Pa)
#AB:GpsLatLang(Lat,Lang)
#X:Commands
#Y:CurrentMeasurementNumber
#80:Velocity
#81:RoadQuality
#82:ConnectionEvent
#83:RoadType
1629225746480;LOCAL_PHONE;Y;12
1629225746480;LOCAL_PHONE;80;SL_80
1629225746480;LOCAL_PHONE;83;RT_O
1629225746480;LOCAL_PHONE;81;RS_N
1629225745881;LOCAL_PHONE;11;20210817
1629225745880;LOCAL_PHONE;10;204225
1629225743611;LOCAL_PHONE;AB;52.5241824,13.4396503
1629225745881;LOCAL_PHONE;11;20210817
1629225746521;LOCAL_PHONE;20;-0.2,0.02,-0.94
1629225746522;LOCAL_PHONE;20;0.23,-0.3,0.2
1629225746522;LOCAL_PHONE;20;0.0,-0.27,0.97
1629225746523;LOCAL_PHONE;20;0.09,-0.28,-0.57
1629225746523;LOCAL_PHONE;20;0.26,0.0,0.06
1629225746533;LOCAL_PHONE;20;-0.28,-0.2,0.22
1629225746534;LOCAL_PHONE;20;0.13,-0.11,0.22
1629225746543;LOCAL_PHONE;20;0.25,-0.02,-0.47
1629225746553;LOCAL_PHONE;20;-0.01,-0.18,-0.05
1629225746563;LOCAL_PHONE;20;0.13,-0.28,0.53
1629225746573;LOCAL_PHONE;20;-0.03,-0.16,0.41
1629225746583;LOCAL_PHONE;20;-0.03,-0.03,-0.07
1629225746593;LOCAL_PHONE;20;0.09,-0.25,0.18
1629225746596;LOCAL_PHONE;AB;52.5241002,13.4393631
1629225746604;LOCAL_PHONE;20;0.01,-0.06,0.31
1629225746613;LOCAL_PHONE;20;0.06,-0.12,0.15
1629225746623;LOCAL_PHONE;20;0.04,-0.05,-0.03
1629225746633;LOCAL_PHONE;20;0.17,-0.1,-0.25
1629225746644;LOCAL_PHONE;20;0.11,0.04,0.29
1629225746653;LOCAL_PHONE;20;0.32,-0.23,0.34
1629225746663;LOCAL_PHONE;20;0.16,-0.18,0.63
1629225746674;LOCAL_PHONE;20;-0.23,-0.26,-0.02
1629225746684;LOCAL_PHONE;20;0.18,-0.18,0.43
1629225746693;LOCAL_PHONE;20;-0.07,-0.32,0.26
1629225746704;LOCAL_PHONE;20;-0.07,-0.23,0.35
1629225746713;LOCAL_PHONE;20;0.2,-0.25,0.18
1629225746724;LOCAL_PHONE;20;-0.06,-0.08,0.28
1629225746733;LOCAL_PHONE;20;0.15,-0.15,-0.24
1629225746743;LOCAL_PHONE;20;-0.03,-0.08,0.47
1629225746753;LOCAL_PHONE;20;-0.15,-0.27,0.22
1629225746764;LOCAL_PHONE;20;0.14,-0.29,0.44
1629225746775;LOCAL_PHONE;20;-0.11,-0.11,0.12
1629225746783;LOCAL_PHONE;20;0.07,-0.3,0.09
1629225746793;LOCAL_PHONE;20;-0.01,0.1,0.42
1629225746804;LOCAL_PHONE;20;0.08,-0.07,0.54
1629225746813;LOCAL_PHONE;20;0.12,0.16,0.47
1629225746826;LOCAL_PHONE;20;-0.24,-0.09,0.16
1629225746834;LOCAL_PHONE;20;-0.04,0.15,0.41
1629225746843;LOCAL_PHONE;20;-0.02,-0.15,0.17
1629225746853;LOCAL_PHONE;20;-0.07,0.0,0.22
1629225746863;LOCAL_PHONE;20;0.11,0.04,-0.07
1629225746874;LOCAL_PHONE;20;-0.04,0.04,0.03
1629225746880;LOCAL_PHONE;10;204226
1629225746880;LOCAL_PHONE;11;20210817
